АВТОМОБИЛЬ	ССЫЛКА_НА_ФОТО	СТАТУС	ИСТОЧНИК
Peugeot 104	https://commons.wikimedia.org/wiki/Special:FilePath/Peugeot%20104S%201979.jpg	WIKIDATA	https://www.wikidata.org/entity/Q849464
Citroën 2CV	https://commons.wikimedia.org/wiki/Special:FilePath/Paris%20-%20Bonhams%202013%20-%20Citro%C3%ABn%202CV%20A%20-%201950%20-%20002.jpg	WIKIDATA	https://www.wikidata.org/entity/Q326015
Suzuki Alto	https://commons.wikimedia.org/wiki/Special:FilePath/Suzuki%20ALTO%20L%20Upgrade%20Package%202WD%20%283BA-HA37S-ABLE-P%29%20front.jpg	WIKIDATA	https://www.wikidata.org/entity/Q922201
Mitsubishi 380	https://commons.wikimedia.org/wiki/Special:FilePath/2007-2008%20Mitsubishi%20380%20%28DB%20III%29%20VR-X%20sedan%2001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1477176
SEAT 124	https://commons.wikimedia.org/wiki/Special:FilePath/SEAT124.jpg	WIKIDATA	https://www.wikidata.org/entity/Q492037
Hyundai Atos	https://commons.wikimedia.org/wiki/Special:FilePath/2002%20Hyundai%20Atoz%201.0%20Front.jpg	WIKIDATA	https://www.wikidata.org/entity/Q482491
Tata TL	https://commons.wikimedia.org/wiki/Special:FilePath/MHV%20Tatamobile%20207%2001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q906268
Proton EMAS	https://commons.wikimedia.org/wiki/Special:FilePath/Proton%20emas%20geneva%202.jpg	WIKIDATA	https://www.wikidata.org/entity/Q4117394
Daihatsu Applause	https://commons.wikimedia.org/wiki/Special:FilePath/MHV%20Daihatsu%20Applause%2001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q945485
Lada 1119	https://commons.wikimedia.org/wiki/Special:FilePath/Lada%20Kalina%201119%20front.JPG	WIKIDATA	https://www.wikidata.org/entity/Q4101850
Dacia 1300	https://commons.wikimedia.org/wiki/Special:FilePath/Dacia%201300.JPG	WIKIDATA	https://www.wikidata.org/entity/Q1156864
Fiat 1100	https://commons.wikimedia.org/wiki/Special:FilePath/Fiat%201100%20%286670783949%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1410426
Peugeot 106	https://commons.wikimedia.org/wiki/Special:FilePath/2001%20Peugeot%20106%20XN%20Zest%202%201.1%20Front.jpg	WIKIDATA	https://www.wikidata.org/entity/Q826094
Suzuki APV	https://commons.wikimedia.org/wiki/Special:FilePath/Suzuki%20APV%20%28first%20generation%29%20%28front%29%2C%20Serdang.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1528343
Opel 1.2 litre	https://commons.wikimedia.org/wiki/Special:FilePath/Opel%201%2C2%20Liter%2C%20Bj.%201932%20%282011-09-24%20Mayen%20B%29.JPG	WIKIDATA	https://www.wikidata.org/entity/Q6438673
SEAT 124 Sport	https://commons.wikimedia.org/wiki/Special:FilePath/Seat%20124%20Sport%20Jarama%202006.JPG	WIKIDATA	https://www.wikidata.org/entity/Q7389554
Kia Bongo	https://commons.wikimedia.org/wiki/Special:FilePath/2006%20Kia%20K2700%20%28PU%29%202-door%20cab%20chassis%20%282015-06-18%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q484508
Hyundai Avante (Elantra)	https://commons.wikimedia.org/wiki/Special:FilePath/2024%20Hyundai%20Elantra%20Luxury%20in%20Atlas%20White%2C%20front%20left%2C%202024-08-11.jpg	WIKIDATA	https://www.wikidata.org/entity/Q482530
Chevrolet 1500	https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/2015_Chevrolet_Suburban_1500_LTZ%2C_rear_4.18.19.jpg/1280px-2015_Chevrolet_Suburban_1500_LTZ%2C_rear_4.18.19.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	COMMONS	https://commons.wikimedia.org/wiki/File:2015_Chevrolet_Suburban_1500_LTZ,_rear_4.18.19.jpg
Tata Aria	https://commons.wikimedia.org/wiki/Special:FilePath/Gedee%20Car%20Museum-Indian%20Cars%20Section-WUS-Tata%20Aria-05428.jpg	WIKIDATA	https://www.wikidata.org/entity/Q7687791
Proton Exora	https://commons.wikimedia.org/wiki/Special:FilePath/2013%20Proton%20Exora%20Bold%201.6%20Premium%20CFE%20in%20Cyberjaya%2C%20Malaysia%20%2803%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1412038
Smart Forfour	https://commons.wikimedia.org/wiki/Special:FilePath/Smart%20Forfour%2C%20Duxford%2C%202006%20%2801%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1328950
Lada 112	https://commons.wikimedia.org/wiki/Special:FilePath/Lada%20112%20wiki.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1799854
Dacia 1310	https://commons.wikimedia.org/wiki/Special:FilePath/2002%20Dacia%201310%20in%20Turda%20%28crop%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q3507004
Škoda 110 R	https://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20110%20R%201977.jpg	WIKIDATA	https://www.wikidata.org/entity/Q391841
Renault 12	https://commons.wikimedia.org/wiki/Special:FilePath/R12TL.JPG	WIKIDATA	https://www.wikidata.org/entity/Q591145
Peugeot 106 XSi	https://commons.wikimedia.org/wiki/Special:FilePath/1992-1995%20Peugeot%20106%20XSi%20%2827978330249%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q3377739
Suzuki Cappuccino	https://commons.wikimedia.org/wiki/Special:FilePath/Suzuki%20Cappuccino%20front%2020090514.jpg	WIKIDATA	https://www.wikidata.org/entity/Q2140029
Mitsubishi Airtrek	https://commons.wikimedia.org/wiki/Special:FilePath/2001%20Mitsubishi%20Airtrek%2001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q11357041
Kia Heart	https://commons.wikimedia.org/wiki/Special:FilePath/2023%20Kia%20Soul%20GT-Line%20Limited%20in%20Snow%20White%20Pearl%2C%20Front%20Right%2C%2009-05-2022.jpg	WIKIDATA	https://www.wikidata.org/entity/Q420780
Hyundai BlueOn	https://commons.wikimedia.org/wiki/Special:FilePath/20110402%20hyundai%20blueon%201.jpg	WIKIDATA	https://www.wikidata.org/entity/Q495296
Tata OneCAT	https://commons.wikimedia.org/wiki/Special:FilePath/Catvertroquette.jpg	WIKIDATA	https://www.wikidata.org/entity/Q959547
Proton GEN•2	https://commons.wikimedia.org/wiki/Special:FilePath/Proton%20Gen.2%20%28front%29%2C%20Serdang.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1784527
Daihatsu Atrai 7	https://commons.wikimedia.org/wiki/Special:FilePath/Daihatsu%20Atrai%207%20003.JPG	WIKIDATA	https://www.wikidata.org/entity/Q1157543
Smart Forfour (W454)	https://commons.wikimedia.org/wiki/Special:FilePath/Smart%20Forfour%201.3%20Passion%20%28W%20454%29%20%E2%80%93%20Frontansicht%2C%201.%20Mai%202012%2C%20Ratingen.jpg	WIKIDATA	https://www.wikidata.org/entity/Q21208869
Lada 112 Coupe	https://commons.wikimedia.org/wiki/Special:FilePath/VAZ-21123.jpg	WIKIDATA	https://www.wikidata.org/entity/Q4101853
Daewoo Espero	https://commons.wikimedia.org/wiki/Special:FilePath/Maroon%20Daewoo%20Espero-002-front.jpg	WIKIDATA	https://www.wikidata.org/entity/Q494447
Škoda 1100 MB	https://commons.wikimedia.org/wiki/Special:FilePath/Brno%20-%20Zeln%C3%BD%20trh%2C%20%C5%A0koda%201100%20MB%2C%202024-06%2C%20obr01.jpg	WIKIDATA	https://www.wikidata.org/entity/Q9396958
Peugeot 107	https://commons.wikimedia.org/wiki/Special:FilePath/2005%20Peugeot%20107%201.0%20Front.jpg	WIKIDATA	https://www.wikidata.org/entity/Q214229
Citroën ZX	https://commons.wikimedia.org/wiki/Special:FilePath/1994%20Citroen%20ZX%20Neon.jpg	WIKIDATA	https://www.wikidata.org/entity/Q370785
Suzuki Cara	https://commons.wikimedia.org/wiki/Special:FilePath/Suzuki%20Cara.jpg	WIKIDATA	https://www.wikidata.org/entity/Q17228277
Mitsubishi Aspire	https://commons.wikimedia.org/wiki/Special:FilePath/2000%20aspire%202.0viento%20f.jpg	WIKIDATA	https://www.wikidata.org/entity/Q11357040
SEAT 128	https://commons.wikimedia.org/wiki/Special:FilePath/Seat128%20EHUn.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1999909
Kia Pride	https://commons.wikimedia.org/wiki/Special:FilePath/Kia%20Pride%20front%2020071204.jpg	WIKIDATA	https://www.wikidata.org/entity/Q169964
Hyundai Creta	https://commons.wikimedia.org/wiki/Special:FilePath/2025%20Hyundai%20Creta%20N%20Line.jpg	WIKIDATA	https://www.wikidata.org/entity/Q18683502
Chevrolet Spin	https://commons.wikimedia.org/wiki/Special:FilePath/2025%20Chevrolet%20Spin%201.8%20LT.jpg	WIKIDATA	https://www.wikidata.org/entity/Q29856
Proton Inspira	https://commons.wikimedia.org/wiki/Special:FilePath/2012%20Proton%20Inspira%202.0%20Premium%204-door%20sedan%20%2819699612942%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q3270906
Daihatsu Ayla	https://commons.wikimedia.org/wiki/Special:FilePath/2014%20Daihatsu%20Ayla%201.0%20X%20B100RS%20%2820190615%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q7830740
Smart Fortwo	https://commons.wikimedia.org/wiki/Special:FilePath/Smart%20Fortwo%20W%20453%20Wien%2026%20July%202020%20JM%20%282%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q834494
Lada 21099	https://commons.wikimedia.org/wiki/Special:FilePath/Lada%20Samara%202109%20in%20Krak%C3%B3w%20%282%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1973563
Dacia 1325	https://commons.wikimedia.org/wiki/Special:FilePath/Dacia%201325%20Liberta%20%281991-1996%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q3011632
Škoda 1100 OHC	https://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%201101%20OHC.jpg	WIKIDATA	https://www.wikidata.org/entity/Q391832
Renault 14	https://commons.wikimedia.org/wiki/Special:FilePath/R14%20001.JPG	WIKIDATA	https://www.wikidata.org/entity/Q572290
Peugeot 108	https://commons.wikimedia.org/wiki/Special:FilePath/17-08-05-Island-Auto-RalfR-DSC%202520.jpg	WIKIDATA	https://www.wikidata.org/entity/Q3377740
Suzuki Celerio	https://commons.wikimedia.org/wiki/Special:FilePath/Suzuki%20Celerio%20%282nd%20generation%29%20IMG%204243.jpg	WIKIDATA	https://www.wikidata.org/entity/Q16725870
Mitsubishi ASX	https://commons.wikimedia.org/wiki/Special:FilePath/2024%20Mitsubishi%20ASX%20Leonberg%202024%20IMG%201053.jpg	WIKIDATA	https://www.wikidata.org/entity/Q16735809
Kia Capital	https://commons.wikimedia.org/wiki/Special:FilePath/20110605%20kia%20capital%201.jpg	WIKIDATA	https://www.wikidata.org/entity/Q12586728
Hyundai Dynasty	https://commons.wikimedia.org/wiki/Special:FilePath/20120731%20hyundai%20dynasty%20limousine%202.jpg	WIKIDATA	https://www.wikidata.org/entity/Q486109
Tata Indica	https://commons.wikimedia.org/wiki/Special:FilePath/MHV%20Tata%20Indica%2001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1145323
Proton Juara	https://commons.wikimedia.org/wiki/Special:FilePath/Proton%20Juara%2C%20Kuala%20Lumpur.jpg	WIKIDATA	https://www.wikidata.org/entity/Q2715011
Daihatsu Be-go	https://commons.wikimedia.org/wiki/Special:FilePath/Daihatsu%20Be-go%20003.JPG	WIKIDATA	https://www.wikidata.org/entity/Q1157546
Smart Fortwo (W450)	https://commons.wikimedia.org/wiki/Special:FilePath/Smart%20City-Coup%C3%A9%20passion%20front.jpg	WIKIDATA	https://www.wikidata.org/entity/Q3962967
Lada 21106	https://commons.wikimedia.org/wiki/Special:FilePath/Lada%2021106.jpg	WIKIDATA	https://www.wikidata.org/entity/Q4101852
Daewoo G2X	https://commons.wikimedia.org/wiki/Special:FilePath/20110528%20daewoo%20g2x%2001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1157109
Fiat 1200	https://commons.wikimedia.org/wiki/Special:FilePath/Fiat%201200%20Convertible%2001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1410433
Peugeot 2008	https://commons.wikimedia.org/wiki/Special:FilePath/Peugeot%20e-2008%20Facelift%20Autofr%C3%BChling%20Ulm%20IMG%209302.jpg	WIKIDATA	https://www.wikidata.org/entity/Q2081398
Citroën Ami 6	https://commons.wikimedia.org/wiki/Special:FilePath/Citroen%20Ami%20-%20Flickr%20-%20exfordy.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1093535
Suzuki Cervo	https://commons.wikimedia.org/wiki/Special:FilePath/1979%20Suzuki%20Cervo%20CX-G.jpg	WIKIDATA	https://www.wikidata.org/entity/Q739299
Mitsubishi Bravo	https://commons.wikimedia.org/wiki/Special:FilePath/Mitsubishi%20Bravo%201989.jpg	WIKIDATA	https://www.wikidata.org/entity/Q11357056
Kia Carens	https://commons.wikimedia.org/wiki/Special:FilePath/2025%20Kia%20Carens%20Clavis%20HTX%20Plus.png	WIKIDATA	https://www.wikidata.org/entity/Q488191
Hyundai Entourage	https://commons.wikimedia.org/wiki/Special:FilePath/07-Hyundai-Entourage.jpg	WIKIDATA	https://www.wikidata.org/entity/Q489053
Chevrolet Orlando	https://commons.wikimedia.org/wiki/Special:FilePath/Chevrolet%20Orlando%20II%20005.jpg	WIKIDATA	https://www.wikidata.org/entity/Q31905
Tata Indica Vista	https://commons.wikimedia.org/wiki/Special:FilePath/2012%20Tata%20Indica%20Safire%20front.JPG	WIKIDATA	https://www.wikidata.org/entity/Q9355803
Proton P2-30A	https://commons.wikimedia.org/wiki/Special:FilePath/2014%20Proton%20Iriz%201.6L%20Premium%20in%20Shah%20Alam%2C%20Malaysia%20%2801%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q17156289
Daihatsu Bee	https://commons.wikimedia.org/wiki/Special:FilePath/Daihatsu%20bee.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1157548
Smart Fortwo (W451)	https://commons.wikimedia.org/wiki/Special:FilePath/Smart%20Fortwo%20Coup%C3%A9%201.0%20mhd%20Passion%20%28451%29%20%E2%80%93%20Frontansicht%2C%2025.%20April%202011%2C%20Ratingen.jpg	WIKIDATA	https://www.wikidata.org/entity/Q3962969
Lada 2114	https://commons.wikimedia.org/wiki/Special:FilePath/Lada%20Samara%202114%2C%20PIA%28II%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q4101855
Dacia Dokker	https://commons.wikimedia.org/wiki/Special:FilePath/2012%20Dacia%20Dokker.JPG	WIKIDATA	https://www.wikidata.org/entity/Q933825
Daewoo Gentra	https://commons.wikimedia.org/wiki/Special:FilePath/Daewoo%20gentra%202013%20%282%29.JPG	WIKIDATA	https://www.wikidata.org/entity/Q16870430
Škoda 1102	https://commons.wikimedia.org/wiki/Special:FilePath/1951%20SKODA%201102%2C%20NG-70-77%2C%20Horn%2C%20the%20Netherlands%2C%20pic6.JPG	WIKIDATA	https://www.wikidata.org/entity/Q9396959
Mitsubishi Carisma	https://commons.wikimedia.org/wiki/Special:FilePath/Mitsubishi%20Carisma%20rear%2020080111.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1327305
SEAT 133	https://commons.wikimedia.org/wiki/Special:FilePath/Seat%20133%20Oviedo.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1499422
Kia Carnival	https://commons.wikimedia.org/wiki/Special:FilePath/Kia%20Carnival%20Hybrid%20KA4%20PE%20HEV%20Snow%20White%20Pearl%20%285%29%20%28cropped%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q488173
Hyundai Eon	https://commons.wikimedia.org/wiki/Special:FilePath/Hyundai%20Eos%20GL%202014%20%2811954748753%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q488076
Tata Indigo	https://commons.wikimedia.org/wiki/Special:FilePath/Tata%20Manza%20LHD%20in%20QC%20front.JPG	WIKIDATA	https://www.wikidata.org/entity/Q10860515
Proton Perdana	https://commons.wikimedia.org/wiki/Special:FilePath/2003-2010%20Proton%20Perdana%20Executive%20V6%20in%20Petaling%20Jaya%2C%20Malaysia%20%2801%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q2113758
Daihatsu Boon	https://commons.wikimedia.org/wiki/Special:FilePath/2nd%20Daihatsu%20Boon.jpg	WIKIDATA	https://www.wikidata.org/entity/Q205608
Smart Roadster	https://commons.wikimedia.org/wiki/Special:FilePath/2004%20SMART%20Roadster%20Coupe%20Brabus%20Automatic%20700cc%20Front.jpg	WIKIDATA	https://www.wikidata.org/entity/Q632358
Lada 2115	https://commons.wikimedia.org/wiki/Special:FilePath/Lada-2115%201.jpg	WIKIDATA	https://www.wikidata.org/entity/Q4101860
Dacia Lăstun	https://commons.wikimedia.org/wiki/Special:FilePath/Dacia%20500.jpg	WIKIDATA	https://www.wikidata.org/entity/Q597073
Škoda 120	https://commons.wikimedia.org/wiki/Special:FilePath/Skoda%20Estelle%20Malta%201996.jpg	WIKIDATA	https://www.wikidata.org/entity/Q391936
Citroën AX	https://commons.wikimedia.org/wiki/Special:FilePath/Citroen%20AX%20front%2020080121.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1093538
Suzuki Cultus Crescent	https://commons.wikimedia.org/wiki/Special:FilePath/99-00%20Suzuki%20Esteem%20sedan.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1502062
Mitsubishi Chariot	https://commons.wikimedia.org/wiki/Special:FilePath/Mitsubishi%20Chariot%201st%20gen%20Japan.jpg	WIKIDATA	https://www.wikidata.org/entity/Q11335647
Kia Cee'd	https://commons.wikimedia.org/wiki/Special:FilePath/2019%20Kia%20Proceed%20GT%20ISG%20S-A%201.6%20Front.jpg	WIKIDATA	https://www.wikidata.org/entity/Q200970
Hyundai Equus	https://commons.wikimedia.org/wiki/Special:FilePath/Hyundai%20new%20equus%28KDM%29%20%285%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q482701
Chevrolet Aveo T200	https://commons.wikimedia.org/wiki/Special:FilePath/Chevrolet%20Aveo%201.4%20LS%202004.jpg	WIKIDATA	https://www.wikidata.org/entity/Q488154
Tata LPT 1116	https://commons.wikimedia.org/wiki/Special:FilePath/TATA%201109H%20EX2%20-%20Howrah%202012-08-11%2001560.jpg	WIKIDATA	https://www.wikidata.org/entity/Q12072599
Proton Persona	https://commons.wikimedia.org/wiki/Special:FilePath/2012%20Proton%20Persona%20Standard%20in%20Cyberjaya%2C%20Malaysia%20%2801%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1973111
Lada 2116	https://commons.wikimedia.org/wiki/Special:FilePath/Lada%20Siluet.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1119433
Daewoo Lacetti	https://commons.wikimedia.org/wiki/Special:FilePath/Daewoo%20Lacetti%20CDX.JPG	WIKIDATA	https://www.wikidata.org/entity/Q493989
Mitsubishi Colt	https://commons.wikimedia.org/wiki/Special:FilePath/Mitsubishi%20Colt%20VI%20CZ3%20Modellpflege%20%28seit%202008%29%20front%20MJ.JPG	WIKIDATA	https://www.wikidata.org/entity/Q934776
Kia cee'd (ED)	https://commons.wikimedia.org/wiki/Special:FilePath/Kia%20cee%27d%20silver.JPG	WIKIDATA	https://www.wikidata.org/entity/Q1740747
Proton Prevé	https://commons.wikimedia.org/wiki/Special:FilePath/2013%20Proton%20Prev%C3%A9%20CFE%20Turbo%20%28Front%29%20in%20Thailand.JPG	WIKIDATA	https://www.wikidata.org/entity/Q5928676
Daihatsu Charade (XP90)	https://commons.wikimedia.org/wiki/Special:FilePath/Daihatsu%20Charade%201.33%20Basis%20%28V%29%20%E2%80%93%20Frontansicht%2C%2021.%20Juni%202011%2C%20Ratingen.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1157550
Lada 2151	https://commons.wikimedia.org/wiki/Special:FilePath/Lada%202151.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1427788
Dacia Logan	https://commons.wikimedia.org/wiki/Special:FilePath/Dacia%20Logan%20Facelift%20front%20-%20PSM%202009.jpg	WIKIDATA	https://www.wikidata.org/entity/Q668565
Daewoo Lanos	https://commons.wikimedia.org/wiki/Special:FilePath/Daewoo%20Lanos%20front%2020070323.jpg	WIKIDATA	https://www.wikidata.org/entity/Q482548
Fiat Sedici	https://commons.wikimedia.org/wiki/Special:FilePath/2009%20Fiat%20Sedici%20Dynamic%2016v%201.6.jpg	WIKIDATA	https://www.wikidata.org/entity/Q369293
Suzuki Equator	https://commons.wikimedia.org/wiki/Special:FilePath/2009%20Suzuki%20Equator%20extended%20cab%20Premium.jpg	WIKIDATA	https://www.wikidata.org/entity/Q2370266
Kia Cerato	https://commons.wikimedia.org/wiki/Special:FilePath/Kia%20Cerato%201.6%20EX%202023%20%2853135607211%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q489832
Hyundai Galloper	https://commons.wikimedia.org/wiki/Special:FilePath/Hyundai%20Galloper%20front%2020070925.jpg	WIKIDATA	https://www.wikidata.org/entity/Q489012
Proton Putra	https://commons.wikimedia.org/wiki/Special:FilePath/Proton%20Putra%20%28front%29%2C%20Kuala%20Lumpur.jpg	WIKIDATA	https://www.wikidata.org/entity/Q641137
Dacia Logan I	https://commons.wikimedia.org/wiki/Special:FilePath/Dacia%20Logan%20front%2020070611.jpg	WIKIDATA	https://www.wikidata.org/entity/Q3011626
Daewoo Leganza	https://commons.wikimedia.org/wiki/Special:FilePath/1999%20Daewoo%20Leganza%20%28V100%29%20sedan%20%2820641758482%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q494486
Peugeot 205	https://commons.wikimedia.org/wiki/Special:FilePath/Peugeot%20205%20front%2020080121.jpg	WIKIDATA	https://www.wikidata.org/entity/Q215218
Suzuki Ertiga	https://commons.wikimedia.org/wiki/Special:FilePath/2013%20Suzuki%20Ertiga%201.4%20GX%20wagon%20%28ZE81S%3B%2001-20-2019%29%2C%20South%20Tangerang.jpg	WIKIDATA	https://www.wikidata.org/entity/Q4050439
Mitsubishi Colt 600	https://commons.wikimedia.org/wiki/Special:FilePath/Mitsubishi%20Colt%20600.JPG	WIKIDATA	https://www.wikidata.org/entity/Q6883031
Kia Concord	https://commons.wikimedia.org/wiki/Special:FilePath/20100801%20kia%20concord%20001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q626134
Hyundai Genesis	https://commons.wikimedia.org/wiki/Special:FilePath/Hyundai%20Genesis%20sedan%20NY.jpg	WIKIDATA	https://www.wikidata.org/entity/Q482641
Daihatsu Compagno	https://commons.wikimedia.org/wiki/Special:FilePath/Daihatsu%20Compagno%20Berlina%20left%20front%20view%20at%2010th%20Osaka%20Motor%20Show%20December%2010%2C%202017%2003.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1157557
Lada C-Cross	https://commons.wikimedia.org/wiki/Special:FilePath/C-cross.JPG	WIKIDATA	https://www.wikidata.org/entity/Q1375274
Dacia Nova	https://commons.wikimedia.org/wiki/Special:FilePath/Dacia%20Nova%20Bucarest%20%281%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q634148
Daewoo LeMans	https://commons.wikimedia.org/wiki/Special:FilePath/1990%20Pontiac%20Le%20Mans%201.5%20GSE%20Hatchback%20%286828416513%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q19944712
Renault 19	https://commons.wikimedia.org/wiki/Special:FilePath/R19%20A.JPG	WIKIDATA	https://www.wikidata.org/entity/Q728034
Citroën Berlingo	https://commons.wikimedia.org/wiki/Special:FilePath/Citroen%20e-Berlingo%20Auto%20Zuerich%202021%20IMG%200097.jpg	WIKIDATA	https://www.wikidata.org/entity/Q756741
Suzuki Every	https://commons.wikimedia.org/wiki/Special:FilePath/Suzuki%20Every%20PA%204WD%20DA64V%200371.JPG	WIKIDATA	https://www.wikidata.org/entity/Q15262290
Kia Credos	https://commons.wikimedia.org/wiki/Special:FilePath/1996%20Kia%20Clarus%2001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q488997
